,Unnamed: 0,vacancy.id,vacancy.source,vacancy.region.region_code,vacancy.region.name,vacancy.company.ogrn,vacancy.company.site,vacancy.company.companycode,vacancy.company.hr-agency,vacancy.company.inn,vacancy.company.name,vacancy.company.kpp,vacancy.company.url,vacancy.creation-date,vacancy.salary,vacancy.salary_min,vacancy.job-name,vacancy.vac_url,vacancy.employment,vacancy.schedule,vacancy.duty,vacancy.category.specialisation,vacancy.requirement.education,vacancy.requirement.qualification,vacancy.requirement.experience,vacancy.addresses.address,vacancy.term.text,vacancy.currency,vacancy.salary_max,vacancy.company.phone,vacancy.company.email,vacancy.company.logo,vacancy.social_protected,vacancy.company.fax,vacancy.company.code_industry_branch,vacancy.category.industry
7952,7952,cd6b6316-753b-11ec-b224-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1101690062638.0,,1101690062638,False,1660146230.0,"ООО ""ДЖИДИСИ СЕРВИСЕЗ""",162401001,https://trudvsem.ru/company/1101690062638,2022-01-14,от 35000,35000,системный аналитик,https://trudvsem.ru/vacancy/card/1101690062638/cd6b6316-753b-11ec-b224-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>выстраивать партнерские отношения с бизнес-подразделениями Компании;</li>
<li>определять заинтересованные стороны;</li>
<li>выявлять и учитывать потребности заинтересованных сторон;</li>
<li>возможность проводить реинжиниринг существующих бизнес-процессов;</li>
<li>формировать системные требования из потребностей;</li>
<li>моделировать архитектуру IT-систем;</li>
<li>взаимодействовать с командой архитекторов и разработчиков;</li>
<li>выбирать варианты реализации систем (платформу) с командой архитекторов и разработчиков.</li>
</ul>","Информационные технологии, телекоммуникации, связь",,,0,"[{'location': 'Республика Татарстан, Лаишевский район, Усады село, Дорожная улица, дом: ДОМ 42;офис/квартира: КОРПУС 2 ОФИС 835;', 'lng': '49.214796', 'lat': '55.679331'}]","ТО МЫ ЗА ЭТО ПРЕДЛАГАЕМ:Выплаты и бонусы

13 зарплата
бонус к отпуску и значимым событиям (свадьба, рождение детей);
компенсация процентов по ипотеке и беспроцентная ссуда;
ДМС со стоматологией;
при переезде предоставим квартиру на первое время или выплатим подъемные.Условия труда:
официальное трудоустройство в соответствии с ТК РФ;
белая заработная плата;
стабильная выплата заработной платы (два раза в месяц);
столовые в офисах и скидки на питание.Обучение и карьера:
вендорное обучение и сертификация за счет компании;
обучение английскому и общение с иностранными заказчиками;
возможность участия в техническом и управленческом кадровом резерве.

Экология и благотворительность:

помогаем детским домам, школам, приютам для животных;
озеленяем город, бережем ресурсы;
поддерживаем социальные инициативы сотрудников.
",«руб.»,0,+7(960)0318217,kasaev@gmail.com,,Инвалиды,,,
7954,7954,855d0975-753b-11ec-833e-4febb26dc4ec,Работодатель,1600000000000,Республика Татарстан,1101690062638.0,,1101690062638,False,1660146230.0,"ООО ""ДЖИДИСИ СЕРВИСЕЗ""",162401001,https://trudvsem.ru/company/1101690062638,2022-01-14,от 50000,50000,Старший системный аналитик,https://trudvsem.ru/vacancy/card/1101690062638/855d0975-753b-11ec-833e-4febb26dc4ec,Полная занятость,Полный рабочий день,"<p><strong>ЧТО БУДЕМ ДЕЛАТЬ:</strong></p>
<ul>
<li>выстраивать партнерские отношения с бизнес-подразделениями Компании;</li>
<li>определять заинтересованные стороны;</li>
<li>выявлять и учитывать потребности заинтересованных сторон;</li>
<li>возможность проводить реинжиниринг существующих бизнес-процессов;</li>
<li>формировать системные требования из потребностей;</li>
<li>моделировать архитектуру IT-систем;</li>
<li>взаимодействовать с командой архитекторов и разработчиков;</li>
<li>выбирать варианты реализации систем (платформу) с командой архитекторов и разработчиков.</li>
</ul>","Информационные технологии, телекоммуникации, связь",,,3,"[{'location': 'Республика Татарстан, г. Казань, Сибирский тракт, дом: ДОМ 42;офис/квартира: КОРПУС 2 ОФИС 835;', 'lng': '49.190793', 'lat': '55.828743'}]","ТО МЫ ЗА ЭТО ПРЕДЛАГАЕМ:Выплаты и бонусы

13 зарплата
бонус к отпуску и значимым событиям (свадьба, рождение детей);
компенсация процентов по ипотеке и беспроцентная ссуда;
ДМС со стоматологией;
при переезде предоставим квартиру на первое время или выплатим подъемные.Условия труда:
официальное трудоустройство в соответствии с ТК РФ;
белая заработная плата;
стабильная выплата заработной платы (два раза в месяц);
столовые в офисах и скидки на питание.Обучение и карьера:
вендорное обучение и сертификация за счет компании;
обучение английскому и общение с иностранными заказчиками;
возможность участия в техническом и управленческом кадровом резерве.

Экология и благотворительность:

помогаем детским домам, школам, приютам для животных;
озеленяем город, бережем ресурсы;
поддерживаем социальные инициативы сотрудников.
",«руб.»,0,+7(960)0318217,kasaev@gmail.com,,Инвалиды,,,
8229,8229,5dfd2f05-9006-11ec-a69c-4febb26dc4ec,Работодатель,7800000000000,г. Санкт-Петербург,1117847334550.0,,1117847334550,False,7806460052.0,"ООО ""ФОРТ""",780601001,https://trudvsem.ru/company/1117847334550,2022-02-17,от 100000 до 200000,100000,Ведущий системный аналитик (MS DAX),https://trudvsem.ru/vacancy/card/1117847334550/5dfd2f05-9006-11ec-a69c-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>Развитие и поддержка бизнес-решения на базе Microsoft Dynamics AX 2012 RЗ;</li>
<li>Активное участие в доработках системы (в различных модулях): сбор и анализ требований, написание ТЗ, взаимодействие с разработчиками (в составе отдела), тестирование;</li>
<li>Консультирование и поддержка пользователей;</li>
<li>Поддержка и развитие интеграционных процессов (DAX-WMS, DAX-1C, DAX-WEB);</li>
<li>Разрешение возникающих инцидентов;</li>
<li>Подготовка пользовательской документации;</li>
<li>Обучение пользователей.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,3,"[{'location': 'г. Санкт-Петербург, Шушары поселок, 2-й Бадаевский проезд, 3', 'lng': '30.403355', 'lat': '59.803282'}]",,«руб.»,200000,+7(981)1046084,victor@autokontinent.ru,,,,,
8591,8591,026a3d75-ba5b-11ec-ac55-57fc951f3846,Работодатель,3000000000000,Астраханская область,1053000013659.0,,1053000013659,False,3015068230.0,МИНЭКОНОМРАЗВИТИЯ АО,301501001,https://trudvsem.ru/company/1053000013659,2022-04-12,от 18000 до 20000,18000,аналитик,https://trudvsem.ru/vacancy/card/1053000013659/026a3d75-ba5b-11ec-ac55-57fc951f3846,Полная занятость,Полный рабочий день,"<p>Обязанности аналитика&nbsp; отдела развития институтов поддержки субъектов малого и среднего предпринимательства - сбор сведений , мониторинг информации, работа в информационных системах</p>","Государственная служба, некоммерческие организации",Высшее,,0,"[{'location': 'Астраханская область, г. Астрахань, Советская улица, дом: 15;', 'lng': '48.040859', 'lat': '46.349319'}]",,«руб.»,20000,+7(8512)513925,minec@astrobl.ru,,,,,
8952,8952,ae039485-a118-11ec-8d7d-57fc951f3846,Работодатель,4000000000000,Калужская область,1214000000092.0,,1214000000092,False,4027145240.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАЛ-СОФТ""",402701001,https://trudvsem.ru/company/1214000000092,2022-03-11,,0,IT-аналитик,https://trudvsem.ru/vacancy/card/1214000000092/ae039485-a118-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>Анализ предметной области, включая анализ нормативной документации, анализ документации на смежные системы, конкурентный анализ;</li>
<li>Создание и проработка User Story, пользовательских сценариев и иных форматов требований, согласование и сопровождение требований;</li>
<li>Взаимодействие с дизайнером для прорисовки макетов интерфейсов либо самостоятельное внесение корректировок в уже готовые макеты,</li>
<li>Проектирование реализации крупных функций продукта и интеграций с внешними продуктами,</li>
<li>Взаимодействие с внутренними и внешними заказчиками, пользователями продукта для анализа потребностей и функциональных требований и предоставления необходимых артефактов,</li>
<li>Ведение проектной документации и WIKI проекта,</li>
<li>Консультационное сопровождение процессов разработки и тестирования.</li>
</ul>","Информационные технологии, телекоммуникации, связь",,<p>Удалённая работа.&nbsp;</p>,1,"[{'location': 'Калужская область, г. Калуга, Циолковского улица, 10', 'lng': '36.24059', 'lat': '54.515811'}]","
Квартальные и годовые бонусы;
Гибкое начало рабочего дня;
ДМС со стоматологией с первого месяца работы;
Корпоративные скидки на изучение английского языка;
Работа в офисе (можно гибридный график) Москва, Санкт-Петербург, Калуга или удаленно из любой точки мира;
Корпоративное бесплатное обучение, повышение квалификации, посещение профильных ивентов за счёт компании;
Нашим сотрудникам предоставляется возможность выступать в качестве спикеров на отраслевых и IT-конференциях;
Материальная поддержка сотрудников на значимые события (рождение ребенка, свадьба, утрата близкого родственника);
Бенефит к Дню рождения;
Корпоративная культура и регулярные неформальные мероприятия помогут быстро влиться в команду и не дадут заскучать в нерабочее время;
Также у нас доброжелательные коллеги и понимающее руководство.
",«руб.»,0,+7(961)1219691,kolontaeva_ai@astralnalog.ru,,,,,
9016,9016,653c13a0-9aef-11ec-92fd-550ed7335bbe,Работодатель,7800000000000,г. Санкт-Петербург,1067847545655.0,,1067847545655,False,7802348846.0,"ООО ""СТД ""ПЕТРОВИЧ""",781601001,https://trudvsem.ru/company/1067847545655,2022-03-03,от 130000 до 130000,130000,бизнес-аналитик,https://trudvsem.ru/vacancy/card/1067847545655/653c13a0-9aef-11ec-92fd-550ed7335bbe,Полная занятость,Полный рабочий день,"<p>Определяет потребности клиентов, выясняет приоритетность задач и разделяет входные запросы, исходя из потенциальной важности для бизнеса клиента. Проектирование и решение задачи. Разрабатывает концепцию решения задачи, составляя документацию, технически прописывая все нюансы.</p>","Информационные технологии, телекоммуникации, связь",Высшее,,3,"[{'location': 'г. Санкт-Петербург, Энгельса проспект, 157', 'lng': '30.344219', 'lat': '60.06293'}]",Ежемесячная премия 15 %,«руб.»,130000,+7(921)1904989,gosuslugi.ptr@petrovich.ru,,,,,
9034,9034,84d6d055-9faa-11ec-a175-4febb26dc4ec,Работодатель,1600000000000,Республика Татарстан,1031630213120.0,,1031630213120,False,1681000024.0,"Черемшанский районный узел электрической связи Альметьевского зонального узла электрической связи ОАО ""Таттелеком""",164032001,https://trudvsem.ru/company/1031630213120,2022-03-09,от 40000,40000,Ведущий системный аналитик,https://trudvsem.ru/vacancy/card/1031630213120/84d6d055-9faa-11ec-a175-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>Управление проектами на всех этапах жизненного цикла.</li>
<li>Участие в развитии новых проектов для внутренних и внешних клиентов.</li>
<li>Сбор, анализ и документирование бизнес-требований заказчика к программному продукту.</li>
<li>Разработка проектной, эксплуатационной, отчетной документации.</li>
<li>Подготовка технической документации для разработки программного продукта.</li>
<li>Составление технических требований на разработку и тестирование продукта.</li>
<li>Разработка прототипов пользовательского интерфейса.</li>
<li>Координация процесса разработки.</li>
<li>Координация работы системных аналитиков.</li>
<li>Проведение проверки готовых решений на соответствие требованиям.</li>
<li>Участие в демонстрации разработки.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,2,"[{'location': 'Республика Татарстан, г. Казань, Николая Ершова улица, дом: 57;', 'lng': '49.179528', 'lat': '55.800023'}]",,«руб.»,0,+7(84396)22960,rukov@rues.cherem.tattelecom.ru,,,,,
9042,9042,79153e85-ba78-11ec-a483-4febb26dc4ec,Работодатель,7800000000000,г. Санкт-Петербург,1177847099594.0,,1177847099594,False,7810671708.0,"ООО ""ГАРАЖ 8""",781001001,https://trudvsem.ru/company/1177847099594,2022-04-12,,0,Маркетинговый аналитик,https://trudvsem.ru/vacancy/card/1177847099594/79153e85-ba78-11ec-a483-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>
<p>Регулярное проведение brand awareness и brand equity исследований;</p>
</li>
<li>
<p>Исследование рынка: оценка емкости и доли рынка;</p>
</li>
<li>
<p>Исследование клиентов компании и потенциальной аудитории: определение релевантных методов исследования, создание дизайна исследования, обработка и валидация полученных данных, презентация итогов исследования, формулирование гипотез;</p>
</li>
<li>
<p>Планирование и прогнозирование бизнес-метрик;</p>
</li>
<li>
<p>Участие в брейнстормах и проектах команды маркетинга/команды аналитиков.</p>
</li>
</ul>","Информационные технологии, телекоммуникации, связь",,,2,"[{'location': 'г. Санкт-Петербург, Новорощинская улица, дом: ДОМ 4;корпус: ЛИТЕРА А;офис/квартира: ОФ. № 530-1;'}]",,«руб.»,0,+7(921)3251148,iberdnikova@bigdataspb.com,,,,,
9155,9155,c3904ac5-bb1a-11ec-ac55-57fc951f3846,Работодатель,7800000000000,г. Санкт-Петербург,1037843042907.0,,1037843042907,False,7815000870.0,"СПБ ГУП ""СПБ ИАЦ""",784201001,https://trudvsem.ru/company/1037843042907,2022-04-13,,0,Ведущий аналитик,https://trudvsem.ru/vacancy/card/1037843042907/c3904ac5-bb1a-11ec-ac55-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>сбор, анализ социологической и статистической информации.</li>
<li>Разработка текстово-графических информационно-аналитических материалов для органов государственной власти.</li>
<li>Работа с базой данных информационно-аналитической системы поддержки принятия управленческих решений (ИС ИАО): структурирование информации для ее размещения в базе данных, другие виды работ с базой данных.</li>
<li>Взаимодействие с органами государственной власти - источниками информации и заказчиками работ.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,0,"[{'location': 'г. Санкт-Петербург, Черняховского улица, 59', 'lng': '30.360227', 'lat': '59.920641'}]",,«руб.»,0,+7(965)0735040,secretar@iac.spb.ru,,Инвалиды,,,
9181,9181,ab7e7fe5-baf9-11ec-bdf7-550ed7335bbe,Работодатель,7800000000000,г. Санкт-Петербург,1037843042907.0,,1037843042907,False,7815000870.0,"СПБ ГУП ""СПБ ИАЦ""",784201001,https://trudvsem.ru/company/1037843042907,2022-04-13,,0,Ведущий системный аналитик,https://trudvsem.ru/vacancy/card/1037843042907/ab7e7fe5-baf9-11ec-bdf7-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Сбор, анализ и формализация требований</li>
<li>Согласование разработанных требований с заказчиком</li>
<li>Участие в интервью, совещаниях, обсуждениях</li>
<li>Постановка задач разработчикам и тестировщикам</li>
<li>Проведение приемо-сдаточных испытаний</li>
<li>Консультация тестировщиков на этапах проверки задачи</li>
<li>Помощь техническим писателям в поддержании документации по системе</li>
<li>Участие в сдаче работ заказчику</li>
<li>Качественный и количественный анализ статистики по продукту</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,3,"[{'location': 'г. Санкт-Петербург, Черняховского улица, 50', 'lng': '30.358987', 'lat': '59.92106'}]",,«руб.»,0,+7(965)0735040,secretar@iac.spb.ru,,Инвалиды,,,
9276,9276,147e8465-7dae-11ec-b3f6-550ed7335bbe,Работодатель,5600000000000,Оренбургская область,1055612021981.0,,f9a487e0-af64-11e8-93af-ef76bd2a03c1,False,5612042824.0,"Оренбургский филиал ОАО ""ЭнергосбыТ Плюс""",561243001,https://trudvsem.ru/company/f9a487e0-af64-11e8-93af-ef76bd2a03c1,2022-01-25,,0,Бизнес-аналитик,https://trudvsem.ru/vacancy/card/f9a487e0-af64-11e8-93af-ef76bd2a03c1/147e8465-7dae-11ec-b3f6-550ed7335bbe,Полная занятость,Полный рабочий день,"<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Формирование методологии сбора и расчёта основных метрик и показателей бизнеса;</p>
<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Поиск закономерностей&nbsp;в&nbsp;данных&nbsp;с целью выявления новых бизнес-возможностей, доработки текущих бизнес-процессов;</p>
<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Обеспечение всех подразделений компании корректными и надёжными данными;</p>
<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Формирование выводов из&nbsp;данных&nbsp;и статистики, использование их для формирования стратегии развития;</p>
<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Внедрение и развитие инструментов хранения и анализа&nbsp;данных;</p>
<p><!-- [if !supportLists]-->&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <!--[endif]-->Участие в разработке методики и расчете рейтинговой оценки деятельности подразделений, проработка и внедрение улучшений в методику;</p>
<p>Поддержка, актуализация и оптимизация имеющейся постоянной отчетности</p>","Информационные технологии, телекоммуникации, связь",Высшее,,0,"[{'location': 'Оренбургская область, г. Оренбург, Аксакова улица, 3А, набережная, 25 а', 'lng': '55.112272', 'lat': '51.77195'}]",Ежемесячная премия 25 %,«руб.»,0,,,,,,,
9282,9282,12b48115-bb2b-11ec-bdf7-550ed7335bbe,Работодатель,7700000000000,г. Москва,1197746742676.0,https://fairtech.ru/,1197746742676,False,7707436700.0,"ООО ""Честные технологии""",,https://trudvsem.ru/company/1197746742676,2022-04-13,от 120000 до 230000,120000,Системный аналитик,https://trudvsem.ru/vacancy/card/1197746742676/12b48115-bb2b-11ec-bdf7-550ed7335bbe,Удаленная,Полный рабочий день,"<ul>
<li>Участие во встречах с заказчиком и выявление требований к ПО;</li>
<li>Анализ требований, написание ТЗ нового функционала, доработка существующих модулей системы, прототипов интерфейса пользователя, описание API и протоколов, а также реализация задач по интеграции со сторонними сервисами;</li>
<li>Взаимодействие с проектной командой и участие в выработке и спецификации ключевых проектных решений;</li>
<li>Оценка задач и взаимодействие с командами разработки и тестирования;</li>
<li>Управление требованиями и сопровождение задач на протяжении всего жизненного цикла проекта;</li>
<li>Документирование реализованных задач;</li>
<li>Участие в приемочных испытаниях реализованного продукта;</li>
<li>Демонстрация готового функционала заказчикам, сбор и анализ обратной связи;</li>
<li>Консультирование по особенностям работы созданных продуктов.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,5,"[{'location': 'г. Москва, Колобовский 1-й переулок, 6с3', 'lng': '37.614985', 'lat': '55.768881'}]",,«руб.»,230000,+7(903) 230-64-70,,,,,,
9415,9415,e8cecb62-9494-11ec-8f42-bf2cfe8c828d,Служба занятости,7700000000000,г. Москва,1217700191631.0,,1217700191631,False,7713481941.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЦМ""",771301001,https://trudvsem.ru/company/1217700191631,2022-02-23,от 40000 до 50000,40000,Младший аналитик,https://trudvsem.ru/vacancy/card/1217700191631/e8cecb62-9494-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"- Сбор и анализ информации по должникам (как физическим, так и юридическим лицам) об их местонахождение, месте работы, имущественном состоянии, наличии дебиторской задолженности, актуального размера долга;
- Взаимоотношения с организаторами торгов, получение необходимой информации;
- Работа по организации и контролю получения ответов на запросы;
- Работа с сайтом ФССП.","Государственная служба, некоммерческие организации",Высшее,Специалист по работе с дебиторской задолженностью<br/>Ответственность<br/>Обучаемость<br/>Пунктуальность,0,"[{'location': 'г. Москва, 111024, г. Москва, 111024, г. Москва, ул. Душинская д. 7 с. 1, оф. 251', 'lng': '37.70638', 'lat': '55.745189'}]",Социальный пакетРабота в офисе с графиком 5/2 с 9.00-18.00; рабочее место предоставляется;,«руб.»,50000,+7(915)2592544,derendyaevapolina96@gmail.com,,,,,
9676,9676,d9a784a6-b4d9-11ec-ac55-57fc951f3846,Работодатель,7700000000000,г. Москва,1187746898184.0,,1187746898184,False,9709038032.0,"ООО ""АЙТИ ЛАБ РЕАЛТИ""",773101001,https://trudvsem.ru/company/1187746898184,2022-04-05,от 180000 до 180000,180000,Бизнес аналитик ИТ разработки (product owner),https://trudvsem.ru/vacancy/card/1187746898184/d9a784a6-b4d9-11ec-ac55-57fc951f3846,Полная занятость,Полный рабочий день,"<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Анализ продукта и конкурентов для генерации идей, и инициатив по развитию продукта;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Проверка идей и гипотез;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Администрирование бэклог разработки, планирование спринтов;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Отчетность за экономику продукта;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Взаимодействие с внутренними заказчиками для анализа функциональных и не функциональных требований;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Перевод бизнес требований в техническое задание для внутренней команды разработчиков;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Поиск и оценка решений с командой разработки;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Организация и участие в тестирование функционала;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Лидирование в команде: настройка процессов и метрик, помощь команде в развитие;</p>
<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Обеспечение роста быстрее рынка.</p>
<p><b>&nbsp;</b></p>","Информационные технологии, телекоммуникации, связь",,,2,"[{'location': 'г. Москва, Пресненская набережная, 12', 'lng': '37.537434', 'lat': '55.749633'}]",,«руб.»,180000,+7(985)3910666,info@itlabrealty.ru,,,,,
9742,9742,99e4b505-ba2d-11ec-bdf7-550ed7335bbe,Работодатель,5900000000000,Пермский край,1025900000048.0,,1025900000048,False,5902300072.0,АО КОММЕРЧЕСКИЙ БАНК 'УРАЛЬСКИЙ ФИНАНСОВЫЙ ДОМ' - УРАЛ ФД,590201001,https://trudvsem.ru/company/1025900000048,2022-04-12,от 50000 до 50000,50000,IT-аналитик (технологический отдел),https://trudvsem.ru/vacancy/card/1025900000048/99e4b505-ba2d-11ec-bdf7-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Анализ и проектирование вариантов реализации бизнес-требований в информационных системах банка;</li>
<li>Уточнение и согласование с заказчиком бизнес &ndash;требований, критериев приёмки результата;</li>
<li>Разработка технического задания (ТЗ) по согласованным требованиям;</li>
<li>Взаимодействие с внешними/внутренними разработчиками при реализации решения.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,1,"[{'location': 'Пермский край, г. Пермь, Ленина улица, 64', 'lng': '56.230566', 'lat': '58.009034'}]",,«руб.»,50000,+7(342)240-10-20,m.huchulina@uralfd.ru,,,-,,
9743,9743,76927d25-ba29-11ec-bdf7-550ed7335bbe,Работодатель,5900000000000,Пермский край,1025900000048.0,,1025900000048,False,5902300072.0,АО КОММЕРЧЕСКИЙ БАНК 'УРАЛЬСКИЙ ФИНАНСОВЫЙ ДОМ' - УРАЛ ФД,590201001,https://trudvsem.ru/company/1025900000048,2022-04-12,от 40000,40000,IT - аналитик систем ДБО (дистанционное банковское обслуживание),https://trudvsem.ru/vacancy/card/1025900000048/76927d25-ba29-11ec-bdf7-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Анализ заявок на доработки приложений интернет-банкинга;</li>
<li>Разработка и согласование технических заданий на доработки;</li>
<li>Взаимодействие с внешними/внутренними разработчиками;</li>
<li>Взаимодействие с бизнес-заказчиками.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,1,"[{'location': 'Пермский край, г. Пермь, Ленина улица, 64', 'lng': '56.230566', 'lat': '58.009034'}]",,«руб.»,0,+7(342)240-10-20,m.huchulina@uralfd.ru,,,-,,
9989,9989,4165bba1-b2d0-11eb-9dd6-bf2cfe8c828d,Работодатель,3500000000000,Вологодская область,1123525001335.0,,1123525001335,False,3525273959.0,"ООО ""ВСЁ И СРАЗУ""",352501001,https://trudvsem.ru/company/1123525001335,2021-05-12,от 25000 до 25000,25000,Тестировщик аналитик программного обеспечения,https://trudvsem.ru/vacancy/card/1123525001335/4165bba1-b2d0-11eb-9dd6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"тестирование ПО компании на наличие ошибок, фиксация ошибок в системе","Информационные технологии, телекоммуникации, связь",Высшее,Квотируемое рабочее место<br/>КВОТА!!!  аналитик - тестировщик программного обеспечения<br/>Ответственность<br/>Дисциплинированность,1,"[{'location': 'Вологодская область, г. Вологда, Пушкинская улица, 5, 160000, г Вологда, ул Пушкинская, д. 5а, офис 20', 'lng': '39.896419', 'lat': '59.219935'}]",Социальный пакет,«руб.»,25000,+7(921)7166090,3525273959_352501001@eo.tensor.ru,,Инвалиды,,,
10037,10037,35581a75-bbd4-11ec-ac55-57fc951f3846,Работодатель,5500000000000,Омская область,1057748753666.0,https://aimc.io/,4ee37f50-7941-11ec-9ed5-57fc951f3846,False,7709638847.0,"ООО ""ЭЙМ КОНСАЛТИНГ""",771401001,https://trudvsem.ru/company/4ee37f50-7941-11ec-9ed5-57fc951f3846,2022-04-14,от 16950,16950,Младший Системный аналитик,https://trudvsem.ru/vacancy/card/4ee37f50-7941-11ec-9ed5-57fc951f3846/35581a75-bbd4-11ec-ac55-57fc951f3846,Полная занятость,Полный рабочий день,"<p>1. Выявление, анализ и управление требованиями;</p>
<p>2. Разработка и согласование проектной и технической документации, спецификаций;</p>
<p>3. Постановка задач на реализацию, сопровождение разработки;</p>
<p>4. Проведение приемочных испытаний;</p>
<p>5. Участие во внутренних процессах, взаимодействие со смежными командами.</p>","Информационные технологии, телекоммуникации, связь",Высшее,,0,"[{'location': 'Омская область, г. Омск, Ильинская улица, 4, 5 этаж, офис 54.', 'lng': '73.374446', 'lat': '54.979878'}]",,«руб.»,0,+7(913) 665-01-48,,,,,,
10126,10126,c221daf5-b66a-11ec-bdf7-550ed7335bbe,Работодатель,7700000000000,г. Москва,1187700020947.0,http://www.welcome.moscow.ru,1187700020947,False,7703468243.0,"АНО ""ПРОЕКТНЫЙ ОФИС ПО РАЗВИТИЮ ТУРИЗМА И ГОСТЕПРИИМСТВА МОСКВЫ""",770301001,https://trudvsem.ru/company/1187700020947,2022-04-07,от 100000 до 180000,100000,Системный аналитик,https://trudvsem.ru/vacancy/card/1187700020947/c221daf5-b66a-11ec-bdf7-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>
<p>Подготовка шаблонов документов</p>
</li>
<li>
<p>Приемка технической документации по проекту</p>
</li>
<li>
<p>Надзор документирования проекта</p>
</li>
<li>
<p>Разработка архитектурной документации</p>
</li>
<li>
<p>Проработка отдельных архитектурных решений</p>
</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,0,"[{'location': 'г. Москва, Тверская улица, 5, г Москва, ул Тверская, д 5А', 'lng': '37.611167', 'lat': '55.756893'}]",,«руб.»,180000,+7(963)6908866,info@welcome.moscow,,,,,
